Sample_ID 	REF_count 	ALT_count 	HET_count 	MISSING 	Total_sites 	Prop_ref 	Prop_alt 	Prop_het 	Prop_missing
2015APRMd09	2408	298	197	12518	15421	0.156150703586	0.0193242980351	0.0127747876273	0.811750210752
2015APRMd20	2464	297	218	12442	15421	0.159782115297	0.0192594513974	0.014136567019	0.806821866286
2015APKHi08	1620	287	198	13316	15421	0.105051553077	0.0186109850204	0.012839634265	0.863497827638
2015APKHi23	1703	312	190	13216	15421	0.110433824006	0.020232150963	0.0123208611633	0.857013163867
2015SSLo02	2641	306	225	12249	15421	0.171259970171	0.0198430711368	0.0145904934829	0.79430646521
2015SSLo09	2715	303	259	12144	15421	0.17605862136	0.0196485312237	0.0167952791648	0.787497568251
2015SSML06	3469	413	966	10573	15421	0.224952986188	0.0267816613709	0.06264185202	0.685623500422
2015SSMH22	4146	452	888	9935	15421	0.268854159912	0.0293106802412	0.0575838142792	0.644251345568
2015SSHi13	2539	227	188	12467	15421	0.164645613125	0.0147201867583	0.0121911678879	0.808443032229
2015SSHi19	2559	230	213	12419	15421	0.165942545879	0.0149147266714	0.0138123338305	0.805330393619
2015SPLo15	2756	300	376	11989	15421	0.178717333506	0.0194539913106	0.0243823357759	0.777446339407
2015SPLo16	3007	298	312	11804	15421	0.194993839569	0.0193242980351	0.020232150963	0.765449711432
2015SPMd03	2360	277	200	12584	15421	0.153038064976	0.0179625186434	0.0129693275404	0.81603008884
2015SPMd23	2406	285	210	12520	15421	0.156021010311	0.018481291745	0.0136177939174	0.811879904027
2015SPHi04	2481	294	221	12425	15421	0.160884508138	0.0190649114843	0.0143311069321	0.805719473445
2015SPHi17	2537	317	223	12344	15421	0.16451591985	0.0205563841515	0.0144608002075	0.800466895791
2012HBLo01	3248	612	353	11208	15421	0.210621879256	0.0396861422735	0.0228908631087	0.726801115362
2012HBLo02	3487	621	370	10943	15421	0.226120225666	0.0402697620128	0.0239932559497	0.709616756371
2012HBMd01	2371	144	252	12654	15421	0.153751377991	0.00933791582906	0.0163413527009	0.820569353479
2012HBMd02	2508	178	197	12538	15421	0.162635367356	0.0115427015109	0.0127747876273	0.813047143506
